1,A1,false
1,A2,false
1,A3,false
1,A4,false
1,A5,false
1,B1,true
1,B2,false
1,B3,true
1,B4,false
1,B5,false
1,C1,false
1,C2,false
1,C3,false
1,C4,false
1,C5,false
2,A1,false
2,A2,false
2,A3,false
2,A4,false
2,A5,false
2,B1,false
2,B2,false
2,B3,true
2,B4,false
2,B5,false
2,C1,false
2,C2,false
2,C3,false
2,C4,false
2,C5,false
3,A1,false
3,A2,false
3,A3,false
3,A4,false
3,A5,false
3,B1,false
3,B2,false
3,B3,true
3,B4,false
3,B5,false
3,C1,false
3,C2,false
3,C3,false
3,C4,false
3,C5,false
4,A1,false
4,A2,false
4,A3,false
4,A4,false
4,A5,false
4,B1,false
4,B2,false
4,B3,false
4,B4,false
4,B5,false
4,C1,false
4,C2,false
4,C3,false
4,C4,false
4,C5,false
